recipient_legal_name,
Persistence Theatre Company Inc.|Persistence Theatre Company Inc.,
Town of Carbonear|Town of Carbonear,
Browning Harvey Limited|Browning Harvey Limited,
The Doctor's House Inn and Spa Ltd.|The Doctor's House Inn and Spa Ltd.,
Quebec - Labrador Fishing and Adventures Ltd.|Quebec - Labrador Fishing and Adventures Ltd.,
Newfoundland & Labrador Oil & Gas Industries Association Inc.|Newfoundland & Labrador Oil & Gas Industries Association Inc.,
Clovelly Golf Course Inc.|Clovelly Golf Course Inc.,
Harbour Grace Ocean Enterprises Ltd.|Harbour Grace Ocean Enterprises Ltd.,
Dalmack Holdings Ltd.|Dalmack Holdings Ltd.,
Mi'kmaw Native Friendship Society|Mi'kmaw Native Friendship Society,
Island East Tourism Group Inc.|Island East Tourism Group Inc.,
Crowbar Lake Wilderness Association|Crowbar Lake Wilderness Association,
Town of Logy Bay-Middle Cove-Outer Cove|Town of Logy Bay-Middle Cove-Outer Cove,
Town of Avondale|Town of Avondale,
Raleigh Historical Corporation Inc.|Raleigh Historical Corporation Inc.,
B.W.S. Manufacturing Ltd.|B.W.S. Manufacturing Ltd.,
Elsipogtog First Nation|Elsipogtog First Nation,
The Gaia Project|The Gaia Project,
Milk Moovement Inc.|Milk Moovement Inc.,
Navigate Startup House|Navigate Startup House,
Norstead Village Inc.|Norstead Village Inc.,
West Hants Regional Municipality|West Hants Regional Municipality,
East River Valley Recreation Association|East River Valley Recreation Association,
Town of Comfort Cove-Newstead|Town of Comfort Cove-Newstead,
Doug Bragg Enterprises Limited|Doug Bragg Enterprises Limited,
C-CORE|C-CORE,
Town of King's Point|Town of King's Point,
Downtown Moncton Centre-Ville Inc.|Downtown Moncton Centre-Ville Inc.,
Unum Health Inc.|Unum Health Inc.,
COMPLEXE SPORTIF LÉOPOLD THÉRIAULT INC.|COMPLEXE SPORTIF LÉOPOLD THÉRIAULT INC.,
Valley Sky Luxury Camping Incorporated|Valley Sky Luxury Camping Incorporated,
Talem Health Analytics Incorporated|Talem Health Analytics Incorporated,
Talem Health Analytics Incorporated|Talem Health Analytics Incorporated,
Cape Smokey Holding Ltd.|Cape Smokey Holding Ltd.,
Membertou National Aboriginal Hockey Championships Society|Membertou National Aboriginal Hockey Championships Society,
Marcia Fiolek Memorial Community Playground Society|Marcia Fiolek Memorial Community Playground Society,
Cavendish Maples Inc.|Cavendish Maples Inc.,
Town of Kensington|Town of Kensington,
Rural Municipality of Miltonvale Park|Rural Municipality of Miltonvale Park,
Town of Souris|Town of Souris,
Windsor Agricultural Society|Windsor Agricultural Society,
KAW Developments|KAW Developments,
Club d'Àge d'Or St-Joseph de Mad. Co-op Ltée|Club d'Àge d'Or St-Joseph de Mad. Co-op Ltée,
Yarmouth & Acadian Shores Tourism Association|Yarmouth & Acadian Shores Tourism Association,
DEP INTERNATIONAL INC.|DEP INTERNATIONAL INC.,
Ébénisterie Foxwoods Millwork Inc.|Ébénisterie Foxwoods Millwork Inc.,
Kingsclear First Nation|Kingsclear First Nation,
Patey & Sons Ltd.|Patey & Sons Ltd.,
Tronosjet Maintenance Inc.|Tronosjet Maintenance Inc.,
Black Cultural Society of Prince Edward Island Inc.|Black Cultural Society of Prince Edward Island Inc.,
Holland College|Holland College,
AquaMedia Inc.|AquaMedia Inc.,
Central Nova Scotia Civic Centre Society|Central Nova Scotia Civic Centre Society,
Prince Edward Island Snowmobile Association Inc.|Prince Edward Island Snowmobile Association Inc.,
Regina Mundi Building Committee Inc.|Regina Mundi Building Committee Inc.,
Oceans Limited|Oceans Limited,
Hunt River Lodge Limited|Hunt River Lodge Limited,
Atlantic Rivers Outfitting Company Inc.|Atlantic Rivers Outfitting Company Inc.,
Atlantic Enclosures Inc.|Atlantic Enclosures Inc.,
Corporation Rue Principale du quartier Saint-Basile Inc.|Corporation Rue Principale du quartier Saint-Basile Inc.,
St. Michael's Polish Benefit Society|St. Michael's Polish Benefit Society,
Village de Neguac|Village de Neguac,
Downtown Dartmouth Business Commission|Downtown Dartmouth Business Commission,
La Maison Beausoleil (2010) Inc.|La Maison Beausoleil (2010) Inc.,
Louisbourg Seafoods Limited|Louisbourg Seafoods Limited,
Cherubini Metal Works Limited|Cherubini Metal Works Limited,
Chester Tennis Club|Chester Tennis Club,
Composite Mats Canada Incorporated|Composite Mats Canada Incorporated,
St. John's Board of Trade|St. John's Board of Trade,
GFI Composites Ltd.|GFI Composites Ltd.,
Pro-Oceanus Systems Incorporated|Pro-Oceanus Systems Incorporated,
Town of Charlottetown|Town of Charlottetown,
Town of Brighton|Town of Brighton,
Roberts' Outfitting Ltd.|Roberts' Outfitting Ltd.,
Town of Channel-Port aux Basques|Town of Channel-Port aux Basques,
Gros Morne Cooperating Association Inc.|Gros Morne Cooperating Association Inc.,
Town of Coachman's Cove|Town of Coachman's Cove,
Waterfront Investments Inc.|Waterfront Investments Inc.,
The Lone Oak  Inc.|The Lone Oak  Inc.,
Rural Municipality of West River|Rural Municipality of West River,
3251499 Nova Scotia Limited|3251499 Nova Scotia Limited,
Quinpool Road Mainstreet District Association Limited|Quinpool Road Mainstreet District Association Limited,
Flolab Data Services Inc.|Flolab Data Services Inc.,
2223134 Nova Scotia Limited|2223134 Nova Scotia Limited,
Turning Tide Cottages Inc.|Turning Tide Cottages Inc.,
NOVA SCOTIA. FEDERATION OF AGRICULTURE|NOVA SCOTIA. FEDERATION OF AGRICULTURE,
Wolfville Farmers Market Co-operative Limited|Wolfville Farmers Market Co-operative Limited,
DIALOGUE NEW BRUNSWICK INC./DIAGLOGUE NOUVEAU-BRUNSWICK INC.|DIALOGUE NEW BRUNSWICK INC./DIAGLOGUE NOUVEAU-BRUNSWICK INC.,
Tobique First Nation|Tobique First Nation,
McFadgen's Bakery Limited|McFadgen's Bakery Limited,
Mahone Bay Tennis Club|Mahone Bay Tennis Club,
L'Acadie de Chezzetcook Association|L'Acadie de Chezzetcook Association,
Tobique First Nation|Tobique First Nation,
Ace Machining Limited|Ace Machining Limited,
Atlantic Friction Inc.|Atlantic Friction Inc.,
Screen Nova Scotia Industry Association|Screen Nova Scotia Industry Association,
Le Comité Acadien et Francophone de l'Est Ltée.|Le Comité Acadien et Francophone de l'Est Ltée.,
Rainbow Riders - Therapeutic Riding Newfoundland and Labrador Inc.|Rainbow Riders - Therapeutic Riding Newfoundland and Labrador Inc.,
Tacora Resources Inc.|Tacora Resources Inc.,
Gander Heritage Trails Inc.|Gander Heritage Trails Inc.,
Novatec Braids Limited|Novatec Braids Limited,
The Lions Club of Kentville|The Lions Club of Kentville,
Eastern Kings Community Center Ltd.|Eastern Kings Community Center Ltd.,
Long Range Construction Inc.|Long Range Construction Inc.,
Rogers Enterprises Ltd.|Rogers Enterprises Ltd.,
Town of Pouch Cove|Town of Pouch Cove,
Atlantic Enclosures Inc.|Atlantic Enclosures Inc.,
Netukulimk Fisheries Limited|Netukulimk Fisheries Limited,
Greenvale Women's Institute|Greenvale Women's Institute,
101792 P.E.I. Inc.|101792 P.E.I. Inc.,
Charlottetown Harbour Authority Inc.|Charlottetown Harbour Authority Inc.,
Town of Digby|Town of Digby,
Mahone Bay Brewing Company Ltd.|Mahone Bay Brewing Company Ltd.,
Eyeread Inc.|Eyeread Inc.,
Capital Winter Club Ltd.|Capital Winter Club Ltd.,
Huîtres Aquador Inc./Aquador Oysters Inc.|Huîtres Aquador Inc./Aquador Oysters Inc.,
Made with Local Snack Foods Inc.|Made with Local Snack Foods Inc.,
Érablière Denis Côté Inc.|Érablière Denis Côté Inc.,
Distillerie Fils du Roy Inc.|Distillerie Fils du Roy Inc.,
KAN-GO-ROO PLAYGROUND (1998) LTD.|KAN-GO-ROO PLAYGROUND (1998) LTD.,
La Coopérative Des Montagnes Limitée - Radio Communautaire|La Coopérative Des Montagnes Limitée - Radio Communautaire,
Oberland Agriscience Inc.|Oberland Agriscience Inc.,
Covenant Place Support & Renewal Organization|Covenant Place Support & Renewal Organization,
Doublehill Inc.|Doublehill Inc.,
Taylor's Brook Outfitting Ltd.|Taylor's Brook Outfitting Ltd.,
JRAS Medical Inc.|JRAS Medical Inc.,
The Maritimes Energy Association|The Maritimes Energy Association,
Friends of the Shipwreck Point Lighthouse Inc.|Friends of the Shipwreck Point Lighthouse Inc.,
River Bourgeois Community Services Society|River Bourgeois Community Services Society,
Clean Annapolis River Project Society|Clean Annapolis River Project Society,
Debert Elementary Parent Teacher Association|Debert Elementary Parent Teacher Association,
Northport Development Inc.|Northport Development Inc.,
Nunatsiavut Government|Nunatsiavut Government,
Abegweit First Nation|Abegweit First Nation,
Mars VR Lab Inc.|Mars VR Lab Inc.,
Diamond Dawgs Baseball Club|Diamond Dawgs Baseball Club,
Together We Can Community Society|Together We Can Community Society,
Victoria Mines Community Development and Recreation Association|Victoria Mines Community Development and Recreation Association,
3314781 Nova Scotia Limited|3314781 Nova Scotia Limited,
12668181 Canada Inc.|12668181 Canada Inc.,
Town of King's Cove|Town of King's Cove,
Association for New Canadians|Association for New Canadians,
Mayflower Limited|Mayflower Limited,
Harbour Breton Suites and Chalet Ltd|Harbour Breton Suites and Chalet Ltd,
Mayflower Outfitters Inc.|Mayflower Outfitters Inc.,
ERDA Complex Building Comm|ERDA Complex Building Comm,
Friends of Elmira Railway Museum  Inc.|Friends of Elmira Railway Museum  Inc.,
Municipality of the District of Argyle|Municipality of the District of Argyle,
Sea Crest Fisheries Limited|Sea Crest Fisheries Limited,
Nepisiguit Sport Lodge Inc.|Nepisiguit Sport Lodge Inc.,
Pointe-du-Chêne Harbour Authority Inc.|Pointe-du-Chêne Harbour Authority Inc.,
Reserve Mines Volunteer Fire Department|Reserve Mines Volunteer Fire Department,
Town of Antigonish|Town of Antigonish,
Camping Panoramic Inc.|Camping Panoramic Inc.,
Homarus Inc.|Homarus Inc.,
3DBioFibR Inc.|3DBioFibR Inc.,
Totally Raw Natural Dog Food Inc.|Totally Raw Natural Dog Food Inc.,
Hope for Wildlife Society|Hope for Wildlife Society,
Wentworth Valley Developments Limited|Wentworth Valley Developments Limited,
Dartmouth Curling Club|Dartmouth Curling Club,
Comité organisateur du Congrès mondial acadien 2024|Comité organisateur du Congrès mondial acadien 2024,
Trout River Industries Inc.|Trout River Industries Inc.,
Tourism Industry Association of Prince Edward Island|Tourism Industry Association of Prince Edward Island,
Village Cottages Ltd.|Village Cottages Ltd.,
Thistledown Limited|Thistledown Limited,
Tilting Recreational and Cultural Society|Tilting Recreational and Cultural Society,
Town of Belleoram|Town of Belleoram,
Corner Brook Arts Centre Association Inc.|Corner Brook Arts Centre Association Inc.,
MacMorran Community Centre Corp.|MacMorran Community Centre Corp.,
The Fortune Community Club|The Fortune Community Club,
Town of Witless Bay|Town of Witless Bay,
B.R. Printing Plates Company Limited|B.R. Printing Plates Company Limited,
Scotian Gold Co-operative Limited|Scotian Gold Co-operative Limited,
Independent Fisheries Limited|Independent Fisheries Limited,
Rotary Club of Perth-Andover|Rotary Club of Perth-Andover,
Chalets MPM Cottages Inc.|Chalets MPM Cottages Inc.,
Moosehead Breweries Limited|Moosehead Breweries Limited,
East Coast Innovation Inc.|East Coast Innovation Inc.,
Ace Machining Limited|Ace Machining Limited,
Municipality of the County of Victoria|Municipality of the County of Victoria,
Pownal Sports Centre|Pownal Sports Centre,
Rural Municipality of York|Rural Municipality of York,
Forteau Lions Club Inc.|Forteau Lions Club Inc.,
Cavendish Marina & Beach Resort Inc.|Cavendish Marina & Beach Resort Inc.,
Alsmadi Holding Incorporated|Alsmadi Holding Incorporated,
Société Historique de Saint Hillaire Inc.|Société Historique de Saint Hillaire Inc.,
Town of Quispamsis|Town of Quispamsis,
Village of Bath|Village of Bath,
Middleton Railway Museum Society|Middleton Railway Museum Society,
"Dr C.B. Lumsden, Wolfville Branch 74, Royal Canadian Legion|Dr C.B. Lumsden, Wolfville Branch 74, Royal Canadian Legion",
Ardoise Community Recreation Centre|Ardoise Community Recreation Centre,
Harbour Authority of Covehead|Harbour Authority of Covehead,
The Good Cottages Inc.|The Good Cottages Inc.,
Pan American Properties Inc.|Pan American Properties Inc.,
Reftek Systems Inc.|Reftek Systems Inc.,
Uigg-Kinross-Grandview Womens' Institute|Uigg-Kinross-Grandview Womens' Institute,
"Vera Perlin Society, Inc.|Vera Perlin Society, Inc.",
Saint Mary's University - Department of Economics|Saint Mary's University - Department of Economics,
Whale Cove Summer Village Limited|Whale Cove Summer Village Limited,
Boys & Girls Clubs of Greater Halifax|Boys & Girls Clubs of Greater Halifax,
City of Bathurst|City of Bathurst,
Ability New Brunswick/Capacité Nouveau-Brunswick|Ability New Brunswick/Capacité Nouveau-Brunswick,
Interdisciplinary Arts Association of New Brunswick Inc.|Interdisciplinary Arts Association of New Brunswick Inc.,
"Port de Grave Peninsula Heritage Society, Inc.|Port de Grave Peninsula Heritage Society, Inc.",
Katchi Technologies Incorporated|Katchi Technologies Incorporated,
Wood Islands Women's Institute|Wood Islands Women's Institute,
Shelburne Curling Club|Shelburne Curling Club,
Halifax Regional Municipality|Halifax Regional Municipality,
Royal Canadian Legion Branch 20|Royal Canadian Legion Branch 20,
Emerald Recreation Club Inc.|Emerald Recreation Club Inc.,
University of Prince Edward Island|University of Prince Edward Island,
Seafood Processors Association of P.E.I. Inc.|Seafood Processors Association of P.E.I. Inc.,
Cows Inc.|Cows Inc.,
Point Prim Lighthouse Society Inc.|Point Prim Lighthouse Society Inc.,
The Bus Stop Theatre Cooperative Ltd.|The Bus Stop Theatre Cooperative Ltd.,
Fogo Island Pride|Fogo Island Pride,
Town of Englee|Town of Englee,
Village d'Atholville|Village d'Atholville,
Centre Eco Restigouche Inc./Restigouche Eco Center Inc.|Centre Eco Restigouche Inc./Restigouche Eco Center Inc.,
Town of Sussex|Town of Sussex,
Village of Charlo|Village of Charlo,
AKSO Marine Biotech Inc.|AKSO Marine Biotech Inc.,
Memorial University of Newfoundland|Memorial University of Newfoundland,
Town of Annapolis Royal|Town of Annapolis Royal,
Royal Canadian Legion - Branch 21|Royal Canadian Legion - Branch 21,
The Masons #17 Ltd.|The Masons #17 Ltd.,
East Hants Historical Society|East Hants Historical Society,
4327451 Nova Scotia Limited|4327451 Nova Scotia Limited,
Laurie's Motel Limited|Laurie's Motel Limited,
Fox Boat Charters Incorporated|Fox Boat Charters Incorporated,
Rolen Holdings Inc.|Rolen Holdings Inc.,
Fort Augustus Recreation Club|Fort Augustus Recreation Club,
East Noel Heritage Schoolhouse Society|East Noel Heritage Schoolhouse Society,
Spirit of Newfoundland Productions Ltd.|Spirit of Newfoundland Productions Ltd.,
Totally Raw Natural Dog Food Inc.|Totally Raw Natural Dog Food Inc.,
Liverpool Baseball Club (1982)|Liverpool Baseball Club (1982),
Cove Kombucha|Cove Kombucha,
Formula Consulting Inc|Formula Consulting Inc,
Rigolet Inuit Community Government|Rigolet Inuit Community Government,
Hubbards Community Waterfront Association|Hubbards Community Waterfront Association,
The Wilds at Salmonier River Inc.|The Wilds at Salmonier River Inc.,
Reseau de Developpement Economique et d'Employabilite de Terre-Neuve-et-Labrador|Reseau de Developpement Economique et d'Employabilite de Terre-Neuve-et-Labrador,horizontnl.ca
Dildo Island Boat Tours & Adventures Ltd.|Dildo Island Boat Tours & Adventures Ltd.,
The Wilds at Salmonier River Inc.|The Wilds at Salmonier River Inc.,
Royal Canadian Legion Branch 122 Clementsport|Royal Canadian Legion Branch 122 Clementsport,
Gander and Area Chamber of Commerce Inc.|Gander and Area Chamber of Commerce Inc.,
Downtown Dartmouth Business Commission|Downtown Dartmouth Business Commission,
Canoe'22 Society|Canoe'22 Society,
Spring Loaded Technology Incorporated|Spring Loaded Technology Incorporated,
Mount Saint Vincent University - Centre for Women in Business|Mount Saint Vincent University - Centre for Women in Business,
Killick Hospice Care Inc.|Killick Hospice Care Inc.,
Eagle River Trout Lodge Inc.|Eagle River Trout Lodge Inc.,
Ken Williams Southern Shore Arena Association Inc.|Ken Williams Southern Shore Arena Association Inc.,
Radient360 Solutions Inc.|Radient360 Solutions Inc.,
Music Industry Association of Newfoundland and Labrador Inc.|Music Industry Association of Newfoundland and Labrador Inc.,
Rustic Wave Cottages Inc.|Rustic Wave Cottages Inc.,
Grey Lake East Outfitters Ltd.|Grey Lake East Outfitters Ltd.,
Town of Indian Bay|Town of Indian Bay,
St. Peter's and Area Lions Club|St. Peter's and Area Lions Club,
Sackville Business Association|Sackville Business Association,
The Kennebecasis Rowing and Canoe Club Incorporated|The Kennebecasis Rowing and Canoe Club Incorporated,
Ingonish Harbour Resort Inc.|Ingonish Harbour Resort Inc.,
Le Village historique acadien de la Nouvelle-Écosse|Le Village historique acadien de la Nouvelle-Écosse,
St. John's Retired Citizens' Association Inc.|St. John's Retired Citizens' Association Inc.,
Rural Municipality of North Shore|Rural Municipality of North Shore,
Town of Indian Bay|Town of Indian Bay,
Conception Bay Area Chamber of Commerce Inc.|Conception Bay Area Chamber of Commerce Inc.,
Greater Fredericton Social Innovation Inc.|Greater Fredericton Social Innovation Inc.,
Atlantic Canada Fish Farmers Association Inc.|Atlantic Canada Fish Farmers Association Inc.,
International Children's Memorial Place Ltd.|International Children's Memorial Place Ltd.,
Prince Edward Island BioAlliance Inc.|Prince Edward Island BioAlliance Inc.,
Greenii Inc.|Greenii Inc.,
Taste of Nova Scotia Society|Taste of Nova Scotia Society,
SAINT JOHN PORT AUTHORITY|SAINT JOHN PORT AUTHORITY,
Sydney Downtown Development Association|Sydney Downtown Development Association,
ZeroIn Foods Inc.|ZeroIn Foods Inc.,
Food Island Partnership Inc.|Food Island Partnership Inc.,
3288180 Nova Scotia Limited|3288180 Nova Scotia Limited,
Dairy Farmers of Prince Edward Island|Dairy Farmers of Prince Edward Island,
Town of Clarenville|Town of Clarenville,
Carriage House Inn Inc.|Carriage House Inn Inc.,
L'Atelier des Copains Co-op Ltée|L'Atelier des Copains Co-op Ltée,
L'Érablière Boulay Inc.|L'Érablière Boulay Inc.,
Point of View Suites & RV Park Limited|Point of View Suites & RV Park Limited,
ROYAL UNITED SERVICES INSTITUTE OF NEW BRUNSWICK INC.|ROYAL UNITED SERVICES INSTITUTE OF NEW BRUNSWICK INC.,
Michaud Equipment Ltd.|Michaud Equipment Ltd.,
Municipality of the County of Inverness|Municipality of the County of Inverness,
Drummond|Drummond,
The Forties Community Centre|The Forties Community Centre,
Sunsel Systems Manufacturing Corporation|Sunsel Systems Manufacturing Corporation,
Miramichi Boating and Yacht Club Inc.|Miramichi Boating and Yacht Club Inc.,
New Brunswick Community College|New Brunswick Community College,
Atlantic Chamber of Commerce Inc.|Atlantic Chamber of Commerce Inc.,
Fairways Cottages Inc.|Fairways Cottages Inc.,
Greenii Inc.|Greenii Inc.,
Town of Rothesay|Town of Rothesay,
Happy Gang 50+ Handicrafts Inc.|Happy Gang 50+ Handicrafts Inc.,
Pisiquid Canoe Club|Pisiquid Canoe Club,
CacheFlo Inc.|CacheFlo Inc.,
Fredericton Pickleball Club Inc.|Fredericton Pickleball Club Inc.,
Kentville Development Corporation Limited|Kentville Development Corporation Limited,
Active Communities Inc.|Active Communities Inc.,
Town of Three Rivers|Town of Three Rivers,
Labrador Rewinding Inc.|Labrador Rewinding Inc.,
Memorial University of Newfoundland|Memorial University of Newfoundland,
Labrador Fishermen's Union Shrimp Company Limited|Labrador Fishermen's Union Shrimp Company Limited,
80354 Newfoundland and Labrador Limited|80354 Newfoundland and Labrador Limited,
Department of Tourism Culture Arts and Recreation|Department of Tourism Culture Arts and Recreation,
Crosbie Salamis Limited|Crosbie Salamis Limited,
The Jaycee Tracey Memorial Society|The Jaycee Tracey Memorial Society,
Mi'Kmaq Commercial Fisheries Inc.|Mi'Kmaq Commercial Fisheries Inc.,
Societe Mi-Careme|Societe Mi-Careme,
SomaDetect Inc.|SomaDetect Inc.,
Torngat Fish Producers Co-operative Society Limited|Torngat Fish Producers Co-operative Society Limited,
Lakeside Cabins Ltd.|Lakeside Cabins Ltd.,
Rob Clarke Motorsports Inc.|Rob Clarke Motorsports Inc.,
Sea Stack Vacation Properties Inc.|Sea Stack Vacation Properties Inc.,
Rambler Metals and Mining Canada Limited|Rambler Metals and Mining Canada Limited,
Grand River Snowmobile Club Inc.|Grand River Snowmobile Club Inc.,
Atlantic Canada Cruise Association|Atlantic Canada Cruise Association,
PARK CHEDIK LTD.-PARC CHEDIK LTEE|PARK CHEDIK LTD.-PARC CHEDIK LTEE,
Rural Municipality of Morell|Rural Municipality of Morell,
Hillside Community Society|Hillside Community Society,
Dizolve Group Corporation|Dizolve Group Corporation,
Vale Packaging Limited|Vale Packaging Limited,
Upper Clements Cottages Ltd.|Upper Clements Cottages Ltd.,
Ellershouse Community Hall|Ellershouse Community Hall,
RDÉE Î.-P.-É. inc.|RDÉE Î.-P.-É. inc.,
Town of Gambo|Town of Gambo,
Vish Limited|Vish Limited,
Shorefast Social Enterprises Inc.|Shorefast Social Enterprises Inc.,
Town of Parsons Pond|Town of Parsons Pond,
Tourism PEI|Tourism PEI,
JMN ENTERPRISES INC.|JMN ENTERPRISES INC.,
